File Name,NO.,NAME,Validation Link
atl.pdf,1,Franco Ibarra*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=16&page=0
atl.pdf,2,Edwin Mosquera,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=17&page=0
atl.pdf,3,Santiago Sosa*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=18&page=0
atl.pdf,,UNAVAILABLE PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=19&page=0
atl.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=20&page=0
atl.pdf,1,Erik Centeno,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=21&page=0
atl.pdf,2,Franco Ibarra,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=22&page=0
atl.pdf,3,Aiden McFadden,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=23&page=0
atl.pdf,4,Santiago Sosa,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=24&page=0
atl.pdf,,NOTES,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=25&page=0
atl.pdf,,*Indicates player is currently,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=26&page=0
atl.pdf,may,receive roster/international spot,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=27&page=0
atl.pdf,,Salary Budget relief unless otherwise,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=28&page=0
atl.pdf,,pursuant to the loan agreement.,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=29&page=0
atl.pdf,,^Player can not be converted from a,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=30&page=0
atl.pdf,,Player to a non-Designated Player by,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=31&page=0
atl.pdf,,Allocation Money.,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=32&page=0
atl.pdf,·,Off-roster Homegrown players can,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=33&page=0
atl.pdf,,matches via a Short-Term Agreement.,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=a1361f1ca8a58bd6_8294f9a3a7ae3c59&schid=8006&row=34&page=0
chi.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=0&page=0
chi.pdf,1,Allan Arigoni,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=1&page=0
chi.pdf,2,Hugo Cuypers,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=2&page=0
chi.pdf,3,Rafael Czichos,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=3&page=0
chi.pdf,4,Maren Haile-Selassie,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=4&page=0
chi.pdf,5,Georgios Koutsias,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=5&page=0
chi.pdf,6,Tobias Salquist,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=6&page=0
chi.pdf,7,Xherdan Shaqiri,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=7&page=0
chi.pdf,8,Laurence Wootton*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=8&page=0
chi.pdf,9,Federico Navarro,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=9&page=0
chi.pdf,,DESIGNATED PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=10&page=0
chi.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=11&page=0
chi.pdf,1,Hugo Cuypers^,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=12&page=0
chi.pdf,2,Gastón Giménez,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=13&page=0
chi.pdf,3,Xherdan Shaqiri^,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=14&page=0
chi.pdf,U22,INITIATIVE PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=15&page=0
chi.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=16&page=0
chi.pdf,1,Brian Gutiérrez,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=17&page=0
chi.pdf,2,Georgios Koutsias,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=18&page=0
chi.pdf,3,Federico Navarro,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=19&page=0
chi.pdf,,UNAVAILABLE PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=20&page=0
chi.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=21&page=0
chi.pdf,1,Victor Bezerra,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=22&page=0
chi.pdf,2,Justin Reynolds,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=23&page=0
chi.pdf,3,Missael Rodríguez,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=24&page=0
chi.pdf,4,Laurence Wootton,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=25&page=0
chi.pdf,,NOTES,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=26&page=0
chi.pdf,•,*Indicates player is currently,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=27&page=0
chi.pdf,may,receive roster/international spot,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=28&page=0
chi.pdf,,Salary Budget relief unless otherwise,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=29&page=0
chi.pdf,,pursuant to the loan agreement.,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=30&page=0
chi.pdf,•,^Player can not be converted from,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=31&page=0
chi.pdf,,Player to a non-Designated Player by,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=32&page=0
chi.pdf,,Allocation Money.,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=33&page=0
chi.pdf,•,Off-roster Homegrown players can,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=34&page=0
clb.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=0&page=0
clb.pdf,1,Rudy Camacho,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=1&page=0
clb.pdf,2,Yevhen Cheberko,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=2&page=0
clb.pdf,3,Mohamed Farsi,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=3&page=0
clb.pdf,45,Cucho Hernández,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=4&page=0
clb.pdf,,Marino Hinestroza,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=5&page=0
clb.pdf,6,Alexandru Matan,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=6&page=0
clb.pdf,7,Steven Moreira,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=7&page=0
clb.pdf,8,Yaw Yeboah,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=8&page=0
clb.pdf,9,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=9&page=0
clb.pdf,10,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=10&page=0
clb.pdf,,DESIGNATED PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=11&page=0
clb.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=12&page=0
clb.pdf,1,Cucho Hernández^,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=13&page=0
clb.pdf,2,Darlington Nagbe,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=14&page=0
clb.pdf,3,Diego Rossi^,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=15&page=0
clb.pdf,U22,INITIATIVE PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=16&page=0
clb.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=17&page=0
clb.pdf,1,Marino Hinestroza,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=18&page=0
clb.pdf,2,Alexandru Matan,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=19&page=0
clb.pdf,3,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=20&page=0
clb.pdf,,UNAVAILABLE PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=21&page=0
clb.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=22&page=0
clb.pdf,1,Keegan Hughes,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=516038344aba8b76_8294f9a3a7ae3c59&schid=8006&row=23&page=0
col.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=0&page=0
col.pdf,1,Kévin Cabral,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=1&page=0
col.pdf,2,Remi Cabral*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=2&page=0
col.pdf,3,Daniel Chacón*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=3&page=0
col.pdf,4,Lamine Diack,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=4&page=0
col.pdf,5,Marko Ilić*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=5&page=0
col.pdf,6,Andreas Maxsø,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=6&page=0
col.pdf,7,Rafael Navarro,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=7&page=0
col.pdf,8,Connor Ronan,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=8&page=0
col.pdf,,DESIGNATED PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=9&page=0
col.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=10&page=0
col.pdf,1,Kévin Cabral^,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=11&page=0
col.pdf,2,Djordje Mihailovic^,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=12&page=0
col.pdf,3,Rafael Navarro,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=13&page=0
col.pdf,U22,INITIATIVE PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=14&page=0
col.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=15&page=0
col.pdf,1,Cole Bassett,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=16&page=0
col.pdf,2,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=17&page=0
col.pdf,3,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=18&page=0
col.pdf,,UNAVAILABLE PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=19&page=0
col.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=20&page=0
col.pdf,1,Remi Cabral,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=21&page=0
col.pdf,2,Daniel Chacón,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=22&page=0
col.pdf,3,Marko Ilić,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=23&page=0
col.pdf,4,Aboubacar Keita,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=24&page=0
col.pdf,5,Miguel Navarro,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=fe75618aad97d0bd&docid=9169db53cc6a538f_8294f9a3a7ae3c59&schid=8006&row=25&page=0
